CASEID	COMPLETE	SCHL_ID	SCHL_PSU	DIST_ID	DIVISION	SCHL_WT	DIST_WT	A1	A1B_G6	A1B_G7	A1B_G8	A1B_G9	A1B_G10	A2	A3	A4A	A4B	A4C	A4D	A4E	A4F	A4G	A4H	A4I	A5	A6A	A6B	A6C	A7	A8A	A8B	A8C	A9	A10A_CAT	A10B_CAT	A10C_CAT	A10A_COMP	A10B_COMP	A10AB_COMP	A11A_CAT	A11B_CAT	A11C_CAT	A11A_COMP	A11B_COMP	A11AB_COMP	A12	A13A	A13B	A13C	A13D	A14A	A14B	A14C	A14D	A15	A16A	A16B	A16C	A16D	A16E	A16F	A16G	A16H	A16I	A17	A18	A19	A20A	A20B	A20C	A20D	A21A	A21B	A21C	A22	A23	A24_G6	A24_G7	A24_G8	A24_G9	A24_G10	A25A	A25B	A25C	A25D	A25E	A25F	A25G	A25H	A25I	A25J	A25K	A25L	A25M	A25N	A25O	A25P	A26
149	1	47	5	1004	6	559.269763651182	56	2	-9	4	4	-9	-9	2	1	-8	-8	-8	-8	-8	-8	-8	-8	-8	2	-9	-9	-9	2	2	-9	-9	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	1	2	1	2	2	5	2	-9	-9	-9	-9	-9	-9	-9	2	5	-9	4	4	-9	-9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
150	1	225	6	5447	5	345.518323201012	117.981866458882	2	-9	5	5	-9	-9	1	1	-8	-8	-8	-8	-8	-8	-8	-8	-8	1	-8	-8	-8	2	2	2	2	1	-9	-9	-9	-9	-9	-9	-8	-8	-8	-8	-8	-8	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1	1	1	1	1	2	2	1	2	5	-9	3	3	-9	-9	2	2	1	1	2	2	2	2	2	1	2	2	1	1	1	1	1
151	1	107	5	7335	9	68.1391456862312	7.50896480555288	2	-9	-9	-9	3	3	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	5	6	9	1	1	1	3	4	6	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	1	2	1	2	2	5	1	1	2	2	1	2	1	-9	2	5	-9	-9	-9	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4
152	1	222	6	5600	5	326.194353087766	24.8486003044697	2	3	4	4	-9	-9	1	2	2	2	2	2	2	2	2	1	2	2	1	2	1	2	2	2	1	1	6	6	8	2	2	2	6	6	6	2	2	2	2	2	2	2	2	1	1	1	2	2	2	2	2	1	2	1	1	1	1	2	5	1	2	2	2	2	2	1	1	2	5	3	4	4	-9	-9	1	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	1
153	1	76	5	7108	9	1130.78823201019	115.386554286754	2	6	6	6	-9	-9	1	2	2	2	1	2	1	2	2	2	2	2	1	2	2	2	1	2	2	1	5	1	3	4	1	4	3	1	2	5	3	5	2	2	2	2	2	2	1	2	2	2	2	2	1	2	1	2	1	2	1	2	1	1	1	2	2	2	2	1	-9	2	1	3	3	3	-9	-9	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	1
154	1	154	4	8166	3	113.946271061822	66.721390659774	2	-9	4	4	-9	-9	2	2	1	2	1	2	1	1	2	2	2	2	1	2	1	2	1	2	1	1	7	3	0	-9	-9	-9	2	1	0	-9	-9	-9	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	1	1	1	2	2	3	1	2	1	1	2	2	2	1	2	5	-9	4	4	-9	-9	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1
155	0	212	5	7399	9	81.2485835849587	2.75581719352456	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
156	0	83	5	9075	8	247.018071992012	10.0327409614412	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
157	1	56	5	8215	3	75.4940487149322	1.91050890152819	2	6	6	6	-9	-9	2	2	1	1	1	2	2	2	1	2	2	2	2	-9	2	2	2	-9	2	1	6	5	8	1	1	2	6	5	6	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	5	1	2	2	2	1	2	1	-9	2	5	1	1	6	-9	-9	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2
158	1	44	5	4509	2	91.4985711979587	3.4455049954861	2	6	6	6	-9	-9	2	1	-8	-8	-8	-8	-8	-8	-8	-8	-8	2	1	2	1	2	1	2	1	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	1	1	2	2	5	2	1	1	1	1	2	2	1	2	5	1	1	1	-9	-9	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1
